,achievement_count,average_cadence,average_heartrate,average_speed,average_temp,average_watts,best_efforts,calories,device_name,distance,elapsed_time,gear,kilojoules,laps,map,max_heartrate,max_speed,max_watts,moving_time,name,pr_count,sport_type,start_date_local,suffer_score,type,weighted_average_watts
0,,71.5,143.4,1.921,33,297.2,6,545.0,Garmin Forerunner 265,5602.4,2931,Brooks Ghost 15 Brooks Ghost,866.9,5,_kumFjzrcOVeATmANk@@Ko@UuAEu@IE@CDB\ErAWjB[pB?d@ONG@IEGQ@SLUJg@j@{DBuAEe@?MFILA\Lj@DB?BGDqDHeCBMPQFOB_@?}BHu@AMJu@^mAl@_CPiATiCDOFQHEdAD`CRFD@NOjF@jCO`FNBzFVRBD?BSPYDSDu@HU@OMMKAIBMA}Aa@KGKWICSDCVFN^LrBb@HFBHKzB?BDDTAb@@dBLl@@NDFH@HCLEFMFGAYUkAG]EK@SCkAE_@Es@Cu@GS?]EkAEEHAbBGt@BJLDd@@NBh@@vCPbBFnCLp@Hj@LpAf@ZNTFp@VVGF@LP@RKLM?e@Qa@KcCcAw@SyEUG`CBXDLFHPJjBJNPTL@FQvAI~@I`@[f@o@t@aAx@}@~@SNCFRNHEjAoAHBZl@xAdBHBLEFM@MCIEEc@MQIc@k@]m@CK@C\a@^[Ze@FApAfA^v@HDJ?FIBOCQeCoBP}@@URoBHCVFrAh@^XJDF?DCFKE]CCKCe@Cc@S}Ai@}BO]L[BGAS_@Ic@DwCwBIiAK{AEe@OCMJcC?q@ACy@Aw@KQ?CDCnACb@GfDG`AKj@[lAGFQHKLQhAe@lBKFICKICBDDC??@?A,172,2.926,508,2917,Lunch Run,,Run,2023-06-29 11:57:20,45,Run,311
1,,74.0,146.1,1.925,33,298.4,7,968.0,Garmin Forerunner 265,10045.5,5319,Brooks Ghost 15 Brooks Ghost,1557.4,7,mdumFvwrcOWLDGEIC??EGH?EABCA?KE?AGs@eB@Y`@cCNsFBgBBOFCTBbA@`@FFIBsCBu@DOCeAHiEA]JuAAKMEa@?qCIECIg@wAEuCQoAAuAOy@CMEYBi@?k@GoCKGCGGIaACo@OmBIgCGc@@YCi@Bk@GyB@mARwBJo@Vy@Na@l@gAVo@t@sBPuABkAGsAIg@c@yAi@mA]gAOaAW_AWiA_@sDUkCC}@@qBP}ATkApBqH^kBT_A~@aDd@oAp@aCN}ABw@GoAOaAAU{@}Cu@}BEUSm@CUg@yACQ[kAKo@Ko@Ck@BEd@MvA_AHC^Cb@B^HTBNHXHt@HFDCVD]@{ALqD@_A@GHC\FfBFs@@w@EIBI|B?~@KnABVAFCFO@s@IoBi@YEY?_@H[LEFa@XIHWLSFCDBf@LjAd@zBrCxJRf@JDnADRDbF@|AF`@Dh@@t@FhBDj@FzCLLD?\?BHBl@@l@FV?h@DvAPnAJH@JJ?VO`BAj@UnDChA@JPH@PMzAGlAEZSzDIn@YfFAj@UrCCn@Ed@Af@OrBGzAD`BD\^zAx@lCh@|BJRt@rCr@lC|@zCTl@PRtBdEL\Xj@Vp@Xf@b@jAl@bCJj@n@vCr@bCP|@JXf@pBEHIBONMF_@JqBv@k@Je@ASEc@Eo@C_@EG?WEeAI}@COEA?K\E?wAOeBGEBAFGzBGFI@aAEMEK_A@u@DUIK_CEe@Gi@AUEI?IDA@CrBInC@jCGnACzBCRGpBCrADB^?t@FpCLHDLZ^@FJIbCHf@NXTRLD|@B`@Fj@@FF]zCIZMXQX}@z@MRmB`BCD@JJDFAV]n@m@PWXQx@w@TYXm@H]PaBFw@HAhA^d@P`@ZH@FAHM?SEGaAK_Ae@i@Qk@I[Co@?i@COEQSGUIe@@IQy@@m@CG}G[WIGGAK?u@HoB?QGGs@ByAKGBGP@nAEVC`BCT@d@GjAa@xAKp@KT{@`EE@CAEG@IKG,166,2.99,461,5219,Lunch Run,,Run,2023-06-28 11:20:29,94,Run,306
2,,72.9,143.1,2.096,29,310.9,6,598.0,Garmin Forerunner 265,6268.2,3001,Brooks Ghost 15 Brooks Ghost,929.8,16,weumFb~rcOOAOMy@Ku@YU@OMCI@GRa@n@wCRm@k@[g@ES]AK@c@AKFWDmCJwBBcAAwAHyAPoAd@}A\sAFs@He@ZsCDQZAz@Db@Fz@BRTTQJAjCPbCJvBLl@@~BRVF~@BDBDPCbA@`AKt@CDKBKCIIMk@O_@@uBCMGGyBSmAEICE@KrB@VGDu@SYYIUCcAEYg@@aBIcBOK@KH?|AIpD@`BC`CE~@@LKlAGbDHDd@BRDf@?dCLTPb@JFHBVMvA@d@Nr@FJJFb@Hj@@hAJl@S^JdAd@n@HLHDJ?HEJKHIA_@We@Sk@S[OGAKb@UtBKb@K\U\s@t@eA`ALSDCPTXj@NJJRx@|@NEHMC[AAe@MMIi@i@e@w@b@k@n@m@d@y@Je@JcBFi@DEH@d@TbA\h@ZF?HI@SCKKGs@K{Ak@_@KyAKg@T@DRBV@x@APDWfCOx@Yd@QTyBnBy@z@LNJA^c@\YJQFCFBTh@TZj@l@X`@DDF?LGDSIUk@UUOe@m@S]?KrAsALUTm@Jg@RgCBEPB\LnAh@RRHBLCDGBUCMGCc@?{Ak@_AW}@EK@CJFLVD\AF@BBEp@W|B]t@kAlAqAhADIZ[DGd@c@^a@d@a@VYJYJgALi@DcAc@CY?g@Ea@ASEWQIOMk@A]BYAi@Fm@CEGCY?i@GgAEyBIWCOEGICU@{AFkAAIiBEWCE@EDEdEIjBI~@e@jBs@jDGHQHUPI@IG,177,4.26,666,2991,Morning Run,,Run,2023-06-27 10:33:41,43,Run,336
3,,73.7,146.1,2.023,31,312.1,6,666.0,Garmin Forerunner 265,6907.4,3414,Brooks Ghost 15 Brooks Ghost,1065.6,5,ojumFdyrcOjAaF\eBHgBAM@W@}BJoDE[DQHIJALHDLALKXEz@BHxADlJd@HM@w@Bq@AKMIWGSO_@E}@YOS@IDKL?TTLF`Bb@Z?NFDJMf@I|A?LBFnCPh@@NHDNCRGFIBGCMOKEoAGoAI}@Cy@Iw@AoCQCH?|@E|ABLrBF`ADp@FfH\|@PxAn@dBj@RGJ@FBDL?HCJIJIBgDqA[Ic@S[I{EYCHEvBFd@NTJDLBfBHd@?^JRJzAh@d@FLN@LGLKFK?YU[OcA]SKG?C@?JEl@QzAOl@HJLFdBvAHL@PEJIFK@IEWq@GK_@]UOUUEAC?IPo@n@a@ZAJTh@JNh@j@h@RJHBNCPEFQBWSi@u@SQOWO_@GII@sApAIACECK?EjA_At@y@r@m@Ze@Xy@Bc@Hg@HkAcCISGSMWi@Km@BiAFg@AK}EUoAI?CH?l@DdETh@@FHIbCD`@P`@PN\J|BFHD?JOjAG|@GXITMRkApAsAhAg@l@EHPLNKbAgADAv@jAbAhALDLEDWCKWOUGSOq@y@MYAKhAiARYHCrAdAZx@HFNEHS?MCIg@Y}@y@YSGIPk@D[NqBFIHB`Bl@n@^JAFSAOCGECi@Ew@[a@MIAYM]EkBIWCMESUI_@Aa@FgBJExAJlADf@FTDr@RtAj@B?HM?KqBs@i@OWEkCQeCKuCOe@V}@EU?GEEGAo@?_AHgBAMMC]?i@CcAAGBAHEnDGvAAz@Cd@YxAQh@ANYbASfAUz@,165,2.812,504,3414,Lunch Run,,Run,2023-06-26 11:21:19,63,Run,320
4,,73.9,149.2,2.022,33,315.7,5,492.0,Garmin Forerunner 265,4966.0,2461,Brooks Ghost 15 Brooks Ghost,775.3,5,yiumFjwrcONcAJ[CMe@QKC]A[?gAKI@A@@LAlACb@q@~DAP?b@OPQGGKP_@Hw@j@sDFsACA?SEQBSFIJA\NfBLT?PBd@T`@aBHk@N[HI@IRoHDIDAzAHZDDCJ}E?yBBaCHaC@GHDREEhBCXEbB?hDIdDAp@@B^?fAFb@?lCRFAD_@@u@Da@COy@U}AYIGGI?OHOFEDAJDLTHD~@Rb@NJ?JANBBF@NKZAn@EXBHAXBJLBbAB~@Hf@?F@JH@PAJEFMFMGMQICG@uAEc@GmAEi@GwBI_BMI?CBGlDJDf@?xDRZPVHF?DB@HKtB?XH`@HR\XRDdBJV?F@BDWhCGd@]l@{@z@Kl@?Fh@z@^b@p@XHHBLETIFG@GAUQeAoA[s@AKDMf@a@^e@VSFMFCpAdA^x@LFJ?FCDYIOs@g@W[q@k@@OF[RyBFa@FANHrAf@j@^J@HCDM?QKIo@IkBu@w@KoBIKAMIKKGMIc@?_@Fg@@e@?S{@E]Em@@sCOg@EICGOA{@DcCCEq@AKQMMs@AEIASDm@HU@OISMCE@GFCNFb@GrBClBIlB@~@Ef@SbAw@~Cc@zBKFK?CA,166,2.624,461,2456,Morning Run,,Run,2023-06-24 10:55:04,54,Run,321
5,4,74.2,153.7,2.259,28,342.2,6,490.0,Garmin Forerunner 265,5009.9,2242,Brooks Ghost 15 Brooks Ghost,758.9,5,}eumFj|rcOWHy@K}@]MGCE@UJ_@`@sBNc@@IAEi@UaBIo@GEBAF@`@KnBk@tD@d@IJKFG?KGEO@MLQFSl@cEHcBASES?MLMFCZLh@FD?@EHcCBqBLOHMDqAF_@@iCBu@X{Ad@{A\sAJw@Bg@HYPqBFGLCTB~@FhABJFBPGnCIjBB~BM~EAbACvAGz@BNFFLDjDRxBHDDBPIhB?XH\PXRLd@LdAFj@?FLAXQ~AKj@GNS^iAjAi@d@k@^FLLJBAJGV[F?JLP\xAfBDFTCDUEYs@SOMUWg@w@CI@IlAcANWJGnAdAVl@JLLDFCHMBKKWe@WOQcAs@IK?EPi@TkCHKJ@zAn@n@`@H?FCHUEKOKk@GoBs@i@Kk@?iAIQCKESWEY?OFwBBEFCn@B~CTx@PjEdBPCDQ@QMKEAYHOC{CiAaAYeBM{DOsBO_@?y@KWT]CCXA~@BXFPZb@P\?FMLw@gAGME[B{ABUJ_FACKA}BKACD_AF[@OGMSCC?IRD^?r@G~BGhDCdAGh@c@rBEXUp@SnAU`AEFM@KE,176,3.468,567,2218,Morning Run,,Run,2023-06-23 10:52:34,59,Run,360
6,,72.7,137.5,1.977,28,308.2,6,614.0,Garmin Forerunner 265,6369.4,3221,Brooks Ghost 15 Brooks Ghost,992.8,5,{humF|{rcO@BNDVB`@BREH@HFBF@HCLILK@KEGGiAQi@UW?MGAECSFOHGDMP}@Ne@PcAHUAEWQ_@GcCKCF?t@G~@s@pE?b@ELIFSCES@IN[Jo@h@mDDwA?MGUBSHMJAPLv@FFiABaCFmB@OTYDc@?eCDw@TqALWv@aDJ_AFWFk@Lo@D}@DIHAxALlADXDF@FHCd@E`DGL@NAfABtACXEfDCV@FzBJx@Fr@Br@DFAFcCMGg@OQCeAWMGEMAQBGLEHDLPNFdB`@VALHBNITANGz@Av@NBr@@ZDzADNFHPGVEDG@KCMSC?qAIi@I_A?_CQc@A_COEBCzAIlB@BRFXAfADlDTLETSLAZDpAB|AJp@N~An@n@Rh@VRGL@HJ@RGNKDE?iEiB}@SmCKw@GM?AdAEj@?ZDPFPLLTFv@@tAJhA\x@\h@DHBHLBRAHIHO@c@a@u@Ww@[E?CDQ`CQr@?HJNjBvALVCRKJO@a@{@e@_@g@k@IAC@OVcAfAGJP^f@n@VR^NPJ@PERSJQIs@_AQQa@{@GGOHeAhAIBGKCQd@g@j@e@x@}@VS\]R]J[XsBDw@y@AoAIUIWUO]E]?q@HuACGiFSaAICJAx@@^FRv@lA\hAHn@Bz@HZ?FOPK?ICEK?OD[Ao@Ea@GYMa@_A_BMg@@qAHqADsCICgAAs@EEB?BMhHMdA[lAGZJJfA`@VBHL@PELKDG?ECMQKGy@[]SE?IRO|@]bBELIBEE,160,2.676,488,3221,Lunch Run,,Run,2023-06-22 11:13:04,37,Run,321
7,,62.6,134.3,1.698,32,236.5,4,246.0,Garmin Forerunner 265,2656.0,1571,Brooks Ghost 15 Brooks Ghost,369.8,4,qjumF`zrcOFO@]TqATq@?Ke@Uq@AuAOOBMpCo@zDB`@IPMHGAGICO?MNWNy@TsBLy@?i@Bk@Gg@FOHEL@HFNDt@@XDX@f@J^PBAd@_CDe@DeCH}ACw@HsBEg@@SPKJBHL@TIZEd@?TBFnBFL@HFXCx@BjFZDE?ODqBGEqCo@IQ?QHOFED@RZHFz@Lh@RV?HBFH@LGREh@EX?x@CFSPOBs@GQ?{@EW?oAGk@IKHBJE~@@LI`A@DTF`@B`@Fx@@r@F?@eAGSCmBIMOCQ@}ABk@AIm@?g@G[AGBSEMJCDAR@PGhAB^ET@FItA?v@m@jCYbAGd@]dBEJID,163,2.626,408,1564,Afternoon Run,,Run,2023-06-21 13:38:00,18,Run,266
8,,72.7,148.2,2.044,32,311.6,6,570.0,Garmin Forerunner 265,5777.4,2851,Brooks Ghost 15 Brooks Ghost,880.8,5,}jumFlzrcOD?HHFPRF\P\BPFR@RGL@DDBJ@NAHKHK@WQSCIIe@K[@QICICSD[Rs@N}@Ni@Dc@DEJ?z@\LFPVJ@LGBSGWW?kAa@GECM\qANgAL}E?iA@WDC^DtABL@BDG|BA`AAZAzADVDL`AbBRp@Hv@@^If@HVLBBCLQ?QGUM{AUgAM[q@aAKUAS@y@@QDGjCNpALdABDD@VG~A?\H\PXPLXFzBHHBSfCMl@Wj@q@t@m@h@CHFXf@|@lAvAJFF?JK@SCOGEe@OYUu@eACIBKhAgAR[JDfA`A\v@HHF@HCJ]CMIIyBiBAGV}AL{AJGrAl@PBf@^HBF?HIBI?IEMIEk@Kq@YiA_@_@Ec@?kAGUEOIQWGa@H_CP?TBjCJz@HpBr@|B`A@?NEDM@UIM]HKA{B{@a@Q[Kk@MoG]]?s@I{AG_BOEI?_@B_@B}AFI|ALrAB~ANtDPVBRPHDNEDSESEIuBEkAIEK?m@D]?a@Jc@ISECQB]GsA[GGMUGCI?EDEL?PFJx@Nx@Vh@J@LGl@?dACJoF[m@AECCG@y@JoC?oACm@RoGIMUCECiDQG?EBQ|AGVCf@QpAMp@]tAc@hA?VKZ?^E\A`DCT?d@IdACpBCNIPCXHXAn@BJNNh@F`@LFFMd@Oz@c@nBEBIC?KGE?@CACD,165,2.906,484,2827,Morning Run,,Run,2023-06-20 10:55:02,64,Run,326
9,,73.9,149.9,2.126,27,323.3,6,504.0,Garmin Forerunner 265,5147.6,2453,Brooks Ghost 15 Brooks Ghost,782.8,5,{jumF`{rcOCBG@EL?LLJX?bA\h@BPNJ@HK@UGMKAODe@Es@QYMCIZ_Bb@sBDCF?|@b@LHHNDBF@HCFK?OGSGCOBGAaAa@IK?GHW\iBBe@JkDBc@@wABKB@xAF`@?LFCVE`CCV?HDFJFXDt@Dz@Bp@HrBH@B?NGlB@TDZN\NLVJ`CFF@DD?FYpCGXQ^uAzAQL_@b@gA`ACFHHH@HCbAiABCF?B@`@t@dAfAJNFFD@F?FAF[EOIEi@QSQu@iACMLQ~@}@LUHCtAhAZv@HDF?DEFM?QAGGGkAy@m@k@AGLk@L_AHsADEB?lBp@`@\JBF?BEFM@OUQe@EyBu@gDUUMS[CSJiCHCbCLj@Dp@Jp@PtAj@nBr@D?JGBMAIAKOGQFS?{Aq@c@KcA_@c@I_BIYEsCKu@GoBKEIKFk@E_@AECCI?a@DyBBOzEVt@Hp@@zBNX?F@NPFBH@HGFM@MEIGEu@?gCKEEEUB]Da@@a@BIDI@M?IGKICOBUAyA_@a@c@E?IDIJBTDFJFzA\d@FNFBTEj@?|@AJEBkAEcAIaAEc@EaACe@GcBGIE?WBg@F[?OGOEEKBIHCNDZ?z@IzBEzCE`A@RNLBJG^KXQ|@CPFJ~@\b@FJTCHCDKAQKI?OCcAa@EDE^u@jDEDG?IGKO,175,3.338,506,2421,Lunch Run,,Run,2023-06-19 11:05:57,59,Run,334
