,achievement_count,average_cadence,average_heartrate,average_speed,average_temp,average_watts,best_efforts,calories,device_name,distance,elapsed_time,gear,kilojoules,laps,map,max_heartrate,max_speed,max_watts,moving_time,name,pr_count,sport_type,start_date_local,suffer_score,type,weighted_average_watts,shoe_distance
0,0.0,73.7,143.2,4.315173000000001,91.0,303.5,6.0,703.0,Garmin Forerunner 265,4.46,62.05,Brooks Ghost 15 Brooks Ghost,1128.6,6,e~dnFd`gcOA@BMA@TAZDj@@@PCp@KjABLLDFEBO?q@BO@aA@CHCX@PAd@QjCsCVSRIREV?f@HbB\TBLFZBX?VEJ@jBKXDVJLJJL^|@j@~@Nh@@PAl@IxAErDYB_@GqBeA]GkBMW@YGu@CIHEJ@PJLJAh@OpA@DD@JE|@CjBCHc@?mAEg@OMFDHPL`@LrABpAJF@\TF@NEFK?SGOAAmAAIEAYBkB@q@DK^DVSZ?zAz@VJNBd@?p@RTRfAfBTRNHH?Xu@FU?q@OaA?}@DiAF_@HYNU^Yp@U|@QbCk@rAUjA[`@ET?RD\NxBbDZ\RL^H^?DCDQ?ICCQB[Ae@SUW[k@c@o@SUQYw@i@YJs@?w@VONkDx@i@HGF?RHZHNTTr@^vA`Ax@b@tAbA`Al@JBXPTXN^R~ALj@?LCHEBOBIEGIA}@Ku@Ic@MSMM[OOMqAw@SSu@a@mAy@CGEe@kAu@WWO_@C_@GC[Bs@La@LSTW^UbA?b@CTBHA|@DZLXBRCLQTEPQ^Bl@DJNNb@XXVd@VZX\j@JHFCBGAGEI_@Qe@e@SAOIiA{@OSSIc@_@MEq@eAM[QMS[F_CH}AAg@Bo@Cg@G_@KSGGMAKIEAGBo@p@a@PUHa@Fa@Nu@N[Nu@Hy@GS?gAMg@Wi@_@o@bAg@`AIFI@GAIKESFSh@[d@{@^KNFf@`@d@Tl@Jn@BDCJQXKj@Cp@Kt@Uf@Ix@Yv@q@DMKK[i@QU]KWCiBNICMD[?a@GMGc@CqAWGEOc@WGQ@a@He@Rq@t@}@x@W^SRUHe@@IEA[FmAHq@?QMMEAE@IDCLDz@?j@MjDKp@BTLJB?DIDWCa@F_@H{DL_AAQKIKAIDCFBjAA~@G~BMhA@LFJFABKFe@Di@DsBDe@?m@JaAEOKGE@OFAJFv@GjBEBC@gAKW?[C@LBDTFFB@R,160.0,6.420190000000001,437.0,3719,Morning Run,0.0,Run,2023-08-02 10:46:27,58.0,Run,310.0,242.52
1,0.0,72.4,132.9,4.194375,88.0,287.6,4.0,279.0,Garmin Forerunner 265,1.89,27.0,Brooks Ghost 15 Brooks Ghost,465.9,3,e~dnFx_gcOj@@LB\@D@@\Ch@M|@DTDBNCBM@WC]BOBiAZ@TA\KROjAoA@AB@hAzBy@rAKJ]LCDCJ?HNTB@JI|@_B\g@?c@CQc@o@a@u@aA`A_@b@OLOHWB_@EKB?~@G\D\ATGJK@GAGKCMLs@Bc@HyDE}@DMHEFAFBHL@JM~@AzAIF_@EoBIIGAuABWNo@?KCKMEQFENDt@EjABd@AD}A`AWFa@CCjAIbA?`BKlD@Dl@@TENMv@}@TG|AH^D~@@`BFNF^RH@JKBI?SIIIAM@mBKo@Aq@GoBIU@UHm@v@SPUBc@ECUHeBHeFBEFA`@AXGRM^MDGDc@RMBGC]D{AEq@DMDEL?HBFJ@JCXK\C`A@f@HD^AxAHD@R^ElAELBt@AHGBEBGAIUHy@BuAc@@q@G,153.0,6.330710000000001,467.0,1620,Morning Run,0.0,Run,2023-08-01 10:48:22,10.0,Run,293.0,238.06
2,3.0,73.0,155.0,5.091412,88.0,340.2,5.0,430.0,Garmin Forerunner 265,2.72,32.28333333333333,Brooks Ghost 15 Brooks Ghost,653.8,9,gadnF|kgcOf@Bc@A]EeAg@g@[_@Ig@EyAAu@GYDIBAJ@PDHRAb@Op@D`@?HJCRGxCGLi@AiAK]MKAGDIVDHBIVWZFdADLDVVHDXDb@?h@\REFKC]EIsAAICEGNmDAMqBGc@PG?OGEKAKDIHCHEJAl@BJDDCp@BPA|@Fl@PZThAh@XBf@Bf@HNFHLz@|Ah@t@p@l@jAz@n@l@R\H@BC?QCCYQyCyBKOCK@ENYLYDa@?UOmACa@Do@AYFg@NUL]VYXOdAUDE@GaAPe@R_@f@MXGdA?f@Cl@PpBKn@Ol@CDUCWB]WKMm@mAYUEOKKQEg@A[IeB{@m@OeCGk@Gk@LBRPRj@O|A@@PIrA?nAENU?uAIo@SIBIL?RBHBBB?TQb@JnCPT?H@NLTHJCJM@MCKUIcAAIE?{@HwBEMEAi@?{@Ea@NO@KG?QJSNIh@BRDLCRBb@Af@H\BTFx@b@\J`@TVBX?B[?uADcAA}@Fw@A]GQa@}@KB[b@SRMFc@LyA\s@TgAJuBM[K[Qi@a@[]aAeBCICCg@h@_@j@YRw@De@Es@AQE]?CB?D@@@CBD?A,180.0,8.339536,572.0,1922,Lunch Run,0.0,Run,2023-07-31 11:04:36,51.0,Run,373.0,236.17
3,0.0,72.6,139.8,4.154109,93.0,286.7,6.0,619.0,Garmin Forerunner 265,4.14,59.8,Brooks Ghost 15 Brooks Ghost,1028.5,5,c~dnF``gcOACDE\?NDh@?BW?g@B]?i@Em@@KHURCLFBZOt@CbAE^?B@@X@LARGXUxAaBJC\DNSLK^ONCL@v@Tb@D^Jb@Dj@LX@fCOv@BJFVVBN^n@@D{@t@y@TSJGA]Fo@Ty@PiA@i@Co@Mm@YKQK?OFcAnBWZGFG?MCIIAQDQNKTIHGh@}@LU?Ga@k@KSQYGUEAq@v@SXUROFOBi@CGBCH@bAFt@EPIFI?QGAMJeADaBAIy@?c@EY?ICCIAQBoALaAIQO?KNB~@Ax@Bx@oBhAOBUAOKUBeBG[Ek@Oi@CIE@}ADy@FEb@?HBNLLIFQ?KGKIA_@Fg@AiCKe@Hc@@o@C[OKDGPDPLH^I|@D`@GZA`@Dx@@L@BD?`AElACFEBs@Ew@AgBIU?KCIGMCOHETFNNFHGTCf@F|@?rAFr@?DDCT@f@ADAdACLCDIBO?k@Ce@?q@IYDGEOAYAU@eAIaBEe@Ii@Se@Gk@G_@@e@CEUDqA?u@BMHAVBfAR^?J@RJJ?HI?QE[A_AHg@?KGGGCKFELFd@ElAKDk@?_@MOAoBM_@@m@GU?EICy@@MJU@OCIKIC?IFENF^?NAh@Kb@BLDHHDVI\?v@F\AH@BDInAAdAAHGBoCIKDITHPLBHCHMLC^@TBb@?xAHXAz@FZFb@Pv@N^A^BdEJbAJb@Af@BNEDEDIDS@mCBEDAd@Bb@L\FT?`@Fj@@F@BB?~AEh@M`E@FN?PP^BPCdAeAVONAr@Dl@@xAN~@@d@Dn@@LDFN?RILU?]USC{@?_AKoBEa@E[@YV[GGDKPYNg@CGCAEDw@A]DuBJoC@CHE^@f@MVQDIBSJQZS@GC]DaAGcAHQHGNBDFBPMbACr@?b@@Dv@BhALFGAm@BcACQ?YFSNCB?LP?PMp@CbBAF[ZuAGEB,169.0,6.429138000000001,493.0,3588,Lunch Run,0.0,Run,2023-07-30 11:15:41,40.0,Run,292.0,233.45
4,0.0,72.1,146.4,4.127265,93.0,287.1,6.0,642.0,Garmin Forerunner 265,4.01,58.5,Brooks Ghost 15 Brooks Ghost,1005.4,5,w`enFr`gcOUFk@Z]Di@CAOBIv@Il@_@r@]?ICo@@q@CeA@INKN@LNAVIf@ATCbA@Th@@rAJFEBgACyABMFGP@JFDFMz@Cn@Cz@?BFB\AZGzAcB`A}@\WRE^CZB`ATRBnAVd@D`@EnBMb@DXHLFLRh@~@p@tAJ`@Dh@MvDCfCJPVPFJr@nARJRR^TPNLRBAFBNPr@d@d@`@PTPZDC@G?IEE]YQScCiBGI?GXq@Ji@Ca@OqAFiA?SHs@BON[XYNIjA[b@IfAYZERIdAUVI^E~@WZ?ZF\RTVhBlCXXNJVDh@@DA?q@Ba@HWFQbA}ANO\KTAjAB~ALVFVL\j@Nj@DVCnAI\KBICEG?KH}@Cm@IYKUKQUO[Gc@@oBK[B]X_A~AIZE`@@`@Jf@RXp@x@Ph@D^Bh@Cd@CDE@MEEKBk@M}@QYQQ[e@Qc@Mk@CAa@?SCg@Ym@s@uAsB]YMGWE]@iCp@oCf@UJGA]W_AVg@RUP[j@MhAGvBDb@HHHj@?TENSj@KLSBIAKMIAGE}@cBOGO]LqHGq@Oo@kA}BUYUKk@MW@w@JcBBo@Qi@Eu@Ue@Ic@AS@_@N[TiCpCWNWBo@EIGHoBGm@@KFGTAHF@PIt@EhBBBD??BMXAdAEXDj@ENKFOKCSJm@Dm@Ck@a@?SCgAAWD]Ti@ROLCAAEA@EE?SHGjAo@^MB[?kAL{@?KCGOCMDCRDvAAb@@d@AHkBdAWBQCGFDNJ@n@EdAm@\OJCV?fAHPAL@DFCbAK~@DRHDHAFa@Ca@BYHwDLiA?OKIKAC@KRDfAGxBEBY?y@EWEK@?AP?D@@B,176.0,5.981738,492.0,3502,Lunch Run,0.0,Run,2023-07-27 11:06:50,68.0,Run,299.0,229.31
5,0.0,73.5,149.6,4.393468,93.0,308.2,5.0,504.0,Garmin Forerunner 265,3.1,42.416666666666664,Brooks Ghost 15 Brooks Ghost,783.0,4,g~dnFv_gcOe@?y@\s@`@c@FYAb@CZGr@_@BC@_@NMNGCw@Bw@Gu@DUDEFCJ?HFFTOx@?d@Ev@BLFBtBFBD@VCrAGd@ENFRLFFK?q@DY@y@BMb@?\IJEn@g@j@q@J@@@HPt@jADLCLa@h@Yd@e@TEHAF@LHNFDNIvAeCH?z@h@h@RdBLl@CrEkAZOd@g@JA\j@Lf@Av@G~AC`ABLE`A?TEJI@[C[Km@Wo@a@{@Qq@CY?a@CI@ICi@Ea@LCFDJFHNBb@QpCJ^Dj@Zj@R^T`@Jd@?n@FLN|@|ANHZVVLh@`@VVn@`@JP^XXd@J@BQEIg@UwBkBa@WEM@ONWLMFOD]QyAC_@FqBBQRa@NSZWlBi@DF?PHXJRJL`DnBz@l@lAp@\XhAt@R\HTLrAEKI_AIYYc@wAw@OOgBkAeCyAu@i@OQMUKs@]SwAZUPUVU`@IZE`@CxBBf@JXB\?d@a@z@UFE?QOICIKo@sA]W_@{@AaAHkB@y@BY?e@AQUi@[c@o@sAKM[Mc@Gy@F_@?CDYDo@A[COGcASYEc@Ke@GW@o@\wC~CUJM@Y@KEE@C|@GVBt@EJIDKEGOBc@D]BcADSV_@Dy@?e@Js@?GCKGEIAOHCLDhAEnBEHo@A_@CM@,178.0,6.2770220000000005,478.0,2541,Morning Run,0.0,Run,2023-07-26 09:36:56,57.0,Run,321.0,225.3
6,0.0,74.3,147.5,4.388994,90.0,301.7,6.0,631.0,Garmin Forerunner 265,4.15,56.85,Brooks Ghost 15 Brooks Ghost,1027.7,5,{jumFxzrcOMDEL@PFJHBPAv@Vj@DNFTNFAJIBSCOSAQD}@Ms@[EE^aBX}AJWBAF@dAd@JNHDF@NEDMAOIK_@AMCy@[EEAEJs@XgAJ{@AaAFiCAO@eABKP?pAH`@@FH?TO~DAlAJp@r@hAB@HO@Me@s@O[AWDmAHCrAFv@DhALbABHD@FIhCJf@FLPNXL|@@j@F\?B@BFYrCUt@[d@_BvA_@^SX[VIL?JJBHA^a@PM`@e@FF`@v@lArAHFH?LEDUCMMIe@Oa@_@]e@Si@jAaAT]FEpAhAP`@LTLDHABCDM?IIUq@e@kAeAPq@F_ANkA?GMIuACcAEKCYUOYKs@@MDsB@CJCXFlDN`@DbAX~DzANCDIBUEIQCMFM?eA]_Aa@_AYq@OaAE_AI_@?wAKgCIw@IoAGGAIMFq@FyBFo@HgD@{DJoFBCFClDLvEZlABb@FjAJC@[AuAMgCMm@GiAC{@Ik@?_BOODE~A?dAGvA?lCK`FrADjEXDCAEDu@@iASGeCo@EICOHQJENHHNNH|A^b@?HJ?TITG`AAt@RDVAhAJb@@f@DJLBJ?HIJMBEAMQGCcBK]?e@Is@Cg@Ee@?uBOwAEg@GaBGGKPcCIOMCOPAHDV@RGvBE|CGfCKv@]xACBIA]Og@Im@?}@I[MMBILFb@EtAEn@UlABFD@H?DGTyAJgCfCJZFZLBBAJKf@YrA_@nAKE?G,167.0,7.3038050000000005,440.0,3407,Morning Run,0.0,Run,2023-07-24 10:09:27,74.0,Run,310.0,222.2
7,3.0,71.3,157.8,5.006406,90.0,327.0,6.0,715.0,Garmin Forerunner 265,4.49,54.0,Brooks Ghost 15 Brooks Ghost,1055.8,7,wjumFvzrcOFL~@b@p@FJBTGF@JNCXIHMBQOi@EUEs@[]?IM@QPWDQf@}BRw@AMIGi@MiCKCXAtAENG?KI?{@Bm@C]?QHIHAZL|BL\HZLD?`@oBFi@NcHDMNKbBFd@?FB@HCnAG|A?HFH^Hl@FnABXDhAHp@?FB@BAr@Rt@@h@HZPPTF~BH\D^JfAd@r@JNNBJERADQBq@c@QEkAi@IAGBCr@MvAOn@?H~BlBDH@LCJEHIBIAm@cAeAcAOB]f@{@z@?Lt@`ATTf@NPN@RGPGDE?IAKKgAoAg@}@KFkAlAGBEAGI?K?EJMjD_D\c@L_@Ha@LmAF}@NONEN?bBp@f@DNJBRAJGHMDy@g@yAm@GAEB?PM|AUfA?HJLb@XnAfAHL?JAJGJIBOEe@{@kAiAKDGHk@r@c@ZCLBLfApAf@RNLDTINMFSOeAmAQYOc@EEa@X_A~@C?GECQJQbByAr@w@ZWNSN[J[NgAJsAHIXOjBt@h@HJHBJ?JEJGFI?OISQ]OaBo@MAELWtCIZGLUZe@f@q@n@cBxAEHADJJFBFCz@aA|AwAj@s@T_@J[NsAFeADIBCLBjAf@d@DXRL?HGCMKQo@IgBk@QBOJIL?TQnBI`@M\OTwBtBOd@MV]\C@GACCCMd@g@p@k@V[pAmAXc@La@BQP_BBe@JQFEXE`Bl@j@HJHDF@JAJIHK@e@]g@Se@MYOOAUxCMf@Wh@mAnAcA|@s@v@IDOA?[^[lAmApAmAXg@J[DYL}@D_ABKFGXMHA`Bp@b@BLDJLBHAHILQFc@_@q@YUEQOq@MkCOc@QMOSg@Au@Dc@By@AIECk@CM@iAIi@Ae@Ee@@GCe@EWMAEHiBA[Dw@AEqBEUGEnCG|@AdBKx@oAbGEDU@EBKp@GJEBKCECBC,188.0,7.507372,579.0,3229,Morning Run,2.0,Run,2023-07-22 09:27:45,105.0,Run,368.0,218.05
8,0.0,75.1,146.5,4.746914,88.0,334.1,6.0,506.0,Garmin Forerunner 265,3.16,40.03333333333333,Brooks Ghost 15 Brooks Ghost,801.1,5,ykumF`zrcOBARNALGLAHFPPDHA^NBI@OYIIGACRgANk@ZaBDEFAJD~@`@TXF@JG@MCOEICAS@ICo@WSEECCKh@yBBWRsG?mADM@Af@@nCP`A@rBJZDr@DF?DGFa@Cg@Bm@AKgASsA_@GK?MBOJINBPTJD`Bd@VCJFDF?HIZCp@CXAl@\Hz@@RBtADJFBHBNCHIHIBKCIOIE]?s@CmAKo@C{@I{COq@GK@AbBEjALDp@?TBvAFbAHlDLdCRz@PfDtAH@TIF@JLATCFIFK?qBq@{@_@iA_@gCOo@A]EMBEH@D?^EjAHd@NR^JbA@p@D^Fh@NpAf@h@DLLDLMXGDI@k@e@e@MaAc@ID?RQxAA\Op@DFTLh@^|@x@BB?ZEPMDOEc@{@kAiAKBMTm@n@WRGLf@t@^b@|@d@DREPGHIBOIsA}Ac@w@E@c@`@m@r@A@G?KQAKBGrAiAbBaBh@y@Ny@Be@LqAGE_A?a@Ga@AYGKKYg@E[?]JiB?GEEmACqAKgCKUMEK?UH_BB}AEKI?}@Au@CS@ICEGHkAEQ?ODMFEJBFDDF@LKj@GxA?jAKdDAx@KbAMt@W`ADDXFp@VV@FBDJ@TCHIFOAYWyAq@I@INIt@Ox@YhAIJ@GEE,165.0,6.514144,513.0,2398,Lunch Run,0.0,Run,2023-07-21 11:26:56,47.0,Run,344.0,213.56
9,0.0,73.3,145.2,4.467289,90.0,307.1,6.0,500.0,Garmin Forerunner 265,3.14,42.28333333333333,Brooks Ghost 15 Brooks Ghost,778.2,5,ikumFtzrcO@BG`@@DHJX@x@Zr@DTNJ?HK?UMOQB]EABa@Ic@QOEGMbAqEFAbAb@LFPRH?JE@E@SAKIEQ?MCgA_@IG@MXeAN{@LsEFkAAy@@QDGBA|@D`AHB?@IBO?kBDs@?oD@u@Fy@BiC@ERFJE@ZO|FBpBOrE@Fz@Hr@@`CJ`@FJ?DEFwBCMeB]s@SIM@WHOLAJDLRXLrA\X?LJBFM`@Ez@Av@BDNDhCJd@?FBH\CNGDK@KEGIGEcBOeCG{F]IdD?HHDj@@XB~CPt@@XXFPI|B@PDNRVPHzBHx@NrAh@PDZBPFJPATOJMCc@We@OeAi@C?A@WjCQr@@F\T`BrADL?NCLGFEBQEc@{@eAeAGCC?CHa@b@{@v@FPbArAHFb@PHFDF?JITKBOGw@w@c@k@Yo@AAOJKP]X_@`@IAGO?IVWf@a@j@m@lAiARUFORq@Be@Ha@H{@?UAC]@iBIUIQOOWOm@NaCCGGCUCOB{@I}@AwAKU@SEELC`@D`AEHGDCAIMC[DyADUFwECGaCECCAIBu@Jk@CMQIQNFv@MjD?t@GxCG~@_@dBOt@Od@i@fCI\GD,165.0,6.415716,463.0,2534,Morning Run,0.0,Run,2023-07-20 10:51:09,49.0,Run,320.0,210.4
